PSPCz,0.40,2.54,2.54,2.54,0.86,0.86,0.86
2F-PSPCz,0.10,1.08,1.08,1.08,0.50,0.50,0.50
4F-PSPCz,-0.37,0.25,0.25,0.25,0.01,0.01,0.01

