PSPCz,0.40 ,0.80 ,0.86 ,0.90 ,0.84 
2F-PSPCz,0.10 ,0.44 ,0.44 ,0.48 ,0.52 
4F-PSPCz,-0.37 ,0.44 ,0.59 ,0.19 ,0.10 
